p107_concernsAI/Ethical_or_bias_risk,p207_digital_tools/Security_software,p214_security_training,p220_security_measures,p220_security_measures/Passcode_on_phone,p220_security_measures/Passcode_on_devices,p220_security_measures/Antivirus,p220_security_measures/Other,p221_security_info,p221_security_info/Close_sessions,p221_security_info/Different_passwords,p221_security_info/Two-step_autentification,p221_security_info/Store_passwords,p221_security_info/Encryption,p221_security_info/Delete_sensitive_data,p221_security_info/Delete_browsing_history,p221_security_info/Review_settings,p221_security_info/Back_up_to_external_media,p221_security_info/Back_up_to_the_cloud,p221_security_info/Other,temp_id
,,,,,,,,,,,,,,,,,,,,1
1.0,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,3
1.0,1.0,No,Passcode_on_phone Passcode_on_devices Antivirus,1.0,1.0,1.0,0.0,Close_sessions Different_passwords Two-step_autentification Store_passwords Back_up_to_the_cloud,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4
0.0,,,,,,,,,,,,,,,,,,,,5
,1.0,No,Passcode_on_phone Passcode_on_devices Antivirus Other,1.0,1.0,1.0,1.0,Close_sessions Different_passwords Store_passwords Back_up_to_the_cloud,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
,0.0,No,Passcode_on_phone,1.0,0.0,0.0,0.0,Delete_sensitive_data Delete_browsing_history Back_up_to_the_cloud,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,7
,,,,,,,,,,,,,,,,,,,,8
0.0,,,,,,,,,,,,,,,,,,,,9
0.0,,,,,,,,,,,,,,,,,,,,10
1.0,1.0,No,Passcode_on_phone Passcode_on_devices Antivirus,1.0,1.0,1.0,0.0,Close_sessions,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
0.0,0.0,No,Passcode_on_phone Passcode_on_devices,1.0,1.0,0.0,0.0,Close_sessions Two-step_autentification Store_passwords Delete_browsing_history Review_settings,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12
,,,,,,,,,,,,,,,,,,,,13
1.0,1.0,Yes,Passcode_on_phone Other,1.0,0.0,0.0,1.0,Close_sessions Two-step_autentification Delete_browsing_history Back_up_to_the_cloud,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,14
,0.0,No,Passcode_on_phone Passcode_on_devices Antivirus,1.0,1.0,1.0,0.0,Two-step_autentification Delete_browsing_history Back_up_to_the_cloud,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15
1.0,,,,,,,,,,,,,,,,,,,,16
1.0,,,,,,,,,,,,,,,,,,,,17
,,,,,,,,,,,,,,,,,,,,18
1.0,,,,,,,,,,,,,,,,,,,,19
0.0,,,,,,,,,,,,,,,,,,,,20
,0.0,No,Passcode_on_phone,1.0,0.0,0.0,0.0,Back_up_to_external_media,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21
,0.0,No,Passcode_on_phone Passcode_on_devices Antivirus,1.0,1.0,1.0,0.0,Different_passwords Two-step_autentification Store_passwords Delete_sensitive_data Back_up_to_external_media Back_up_to_the_cloud,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,22
,0.0,No,Passcode_on_phone Antivirus,1.0,0.0,1.0,0.0,Close_sessions Store_passwords Delete_sensitive_data Back_up_to_external_media,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,23
0.0,,,,,,,,,,,,,,,,,,,,24
0.0,,,,,,,,,,,,,,,,,,,,25
