p105_helpAI/Fundraising,p303_funding,p303_funding/International_cooperation,p303_funding/Individual_donations,p303_funding/Private_companies,p303_funding/Public_funds,p303_funding/Fun-raising_activities,p303_funding/Sale_of_services,p303_funding/Endowments,p303_funding/Loans,p303_funding/Other,p305_new_funding,p305_new_funding_detail,p305_new_funding_strategy,p308_prepared_funding,p309_funding_staff,p310_funding_docs,p310_funding_docs/Strategic_plan,p310_funding_docs/Portfolio,p310_funding_docs/Donor_database,p310_funding_docs/Proposal_templates,p310_funding_docs/Comms_strategy,p310_funding_docs/Resource_mobilization_strategy,p310_funding_docs/Other,p311_funding_plans,p312_funding_priorities,p320_other_funding,p322_expectations/Comms_for_fundraising,p322_expectations/Emerging_funding,p322_expectations/Impact_funds,p325_funding_barriers,temp_id
,International_cooperation Individual_donations,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Via des partenaires stratégiques,"Affecter un groupe de travail dont la mission la mobilisation des partenariats
Renforcer les capacités de l'organisation en la mobilisation des partenariats",3.0,Other,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Un groupe de travail dédié à cette mission
Postuler à un appel d'offre sur le renforcement organisationnel 
Faire recours à un accompagnement par Forus","Plaidoyer pour:
- un environnement favorable à l'action associative
- La gouvernance associative
- La protection sociale 
- La justice climatique 
- L'institutionalisation de l'égalité entre les sexes",La collectete de fonds via des dons effectués par les membres bénévoles et amiEs de l'association,1.0,1.0,1.0,La complexité des procédures administratives,1
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Sale_of_services Endowments,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,No,,,3.0,No,Strategic_plan Comms_strategy,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Développement des compétences numériques,Attirer des nouveaux  partenaires financiers pour sécuriser la mise en œuvre du plan stratégique,Vente de services,1.0,1.0,1.0,L'absence d'appui institutionnel dans la durée,3
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
,Individual_donations Private_companies Sale_of_services Other,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Yes,Me escucharon hablar en un evento y ofrecieron financiarnos. Leyeron algo que escribí  y me ofrecieron un fondo.,No hubo tal estrategia. Como mucho ir al evento a hablar.,4.0,No,Strategic_plan Donor_database Other,1.0,0.0,1.0,0.0,0.0,0.0,1.0,"Una compañera recibe las convocatorias, las evaluamos, las escribimos, las presentamos.
Yo salgo a vender productos y servicios de la Fundación o a dar charlas.","Sobrevivir este año. Conseguir 150,000 dólares para sostener el año próximo. Fortalecer nuestro área de producción.",Venta de productos y servicios,1.0,1.0,1.0,"Que depende de mi y soy la presidenta, directora ejecutiva y en contexto de crisis estoy totalmente sobrepasada de tareas.",8
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
,Individual_donations,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,,2.0,No,Strategic_plan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Estrategie de l' Organisation
Elaboration du plan d'Action
Elaboratiin du Budget 
Elaboration de la stratégie financière","1. Reformar a estrutura organica e funcioal da organisation de modo a se adaptar à grande dimensão geografica do país e ao contexto politico, económico e docial do país
2. Preparar o FONGA e as suas organizações membros no engajamento politico e social
3.Engajar as instituições do Governo e do Estado em díalogo estruturado
4. Monitorar os compromissos internacionais assumidos pelo governo
5. Influenciar as politicas publicas, processos e estratégias.",Collecte des fonds indivifuels,1.0,1.0,1.0,Equipe très limitée et travaillant sans percevoir les remunerations,13
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
,Public_funds Sale_of_services,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,No,,,3.0,No,Strategic_plan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"À Coordination SUD, mon poste est en charge de la veille sur les financements, principalement au service de nos membres, et dans un second temps pour Coordination SUD elle-même.","Renforcer le financement existant auprès d’un bailleur unique, tout en entamant une démarche de diversification, sans cadre stratégique clair.","La vente de formations, la cotisation des membres,",1.0,1.0,1.0,Aucune personne n’est actuellement dédiée à cette mission.,18
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
0.0,Public_funds Other,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Yes,We received an invitation for both sources - European Commission project and a project with a Private Foundation,To plan with the team and monitor,3.0,No,Strategic_plan Proposal_templates Comms_strategy,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,To apply for a grant for umbrella organisations,none,0.0,1.0,0.0,Concentration of funding source - framework contract with the Portuguese Development Agency; internal policy of no competition with members - it doesn't allow the Platform to apply to funding sources already used by the members,24
